respondent_id,choiseset_id,alternative_id,choice_id,cloud_storage,customer_support,cloud_services,price,choice
1,1,1,1,2000gb,yes,email,p18,0
1,1,2,1,5000gb,no,"email, video, productivity",p6,1
1,1,3,1,30gb,yes,email,p18,0
1,2,1,2,2000gb,no,"email, video, productivity",p18,0
1,2,2,2,5000gb,yes,email,p6,1
1,2,3,2,30gb,no,email,p18,0
1,3,1,3,30gb,no,email,p12,0
1,3,2,3,2000gb,yes,"email, video",p12,0
1,3,3,3,2000gb,no,"email, video",p12,1
1,4,1,4,30gb,yes,email,p12,0
1,4,2,4,30gb,no,"email, video, productivity",p12,0
1,4,3,4,2000gb,no,"email, video, productivity",p12,1
1,5,1,5,2000gb,yes,"email, video",p6,1
1,5,2,5,5000gb,yes,"email, video",p12,0
1,5,3,5,5000gb,no,email,p12,0
1,6,1,6,30gb,yes,email,p6,0
1,6,2,6,30gb,yes,"email, video, productivity",p6,1
1,6,3,6,2000gb,no,"email, video",p6,0
1,7,1,7,2000gb,no,email,p12,0
1,7,2,7,5000gb,yes,email,p18,1
1,7,3,7,30gb,no,"email, video",p18,0
1,8,1,8,5000gb,no,"email, video",p6,1
1,8,2,8,2000gb,yes,email,p6,0
1,8,3,8,30gb,no,"email, video",p6,0
1,9,1,9,5000gb,yes,"email, video, productivity",p12,0
1,9,2,9,2000gb,no,"email, video, productivity",p6,0
1,9,3,9,5000gb,yes,"email, video",p6,1
1,10,1,10,2000gb,yes,"email, video, productivity",p12,0
1,10,2,10,30gb,yes,"email, video",p12,1
1,10,3,10,30gb,no,"email, video, productivity",p6,0
1,11,1,11,30gb,no,"email, video",p12,0
1,11,2,11,30gb,yes,"email, video, productivity",p18,1
1,11,3,11,2000gb,no,email,p6,0
1,12,1,12,5000gb,no,email,p18,0
1,12,2,12,5000gb,no,"email, video",p12,0
1,12,3,12,2000gb,yes,"email, video, productivity",p6,1
1,13,1,13,2000gb,yes,"email, video",p18,0
1,13,2,13,30gb,no,"email, video, productivity",p18,0
1,13,3,13,5000gb,no,email,p6,1
1,14,1,14,2000gb,yes,"email, video, productivity",p18,1
1,14,2,14,30gb,yes,"email, video",p18,0
1,14,3,14,2000gb,yes,email,p12,0
1,15,1,15,30gb,yes,"email, video, productivity",p12,0
1,15,2,15,5000gb,yes,"email, video, productivity",p6,1
1,15,3,15,5000gb,yes,"email, video",p18,0
2,1,1,16,30gb,yes,"email, video, productivity",p18,0
